Contestant,Est_Fan_Share,Fan_Share_Std,Valid_Simulations,IsFinalWeek,Season,Week,Rule_Used
John O'Hurley,0.16861533224161246,0.11903519143412514,2318,False,1,2,rank
Kelly Monaco,0.1904732557388816,0.11688797762443982,2318,False,1,2,rank
Evander Holyfield,0.23221108978535873,0.11910657049721957,2318,False,1,2,rank
Rachel Hunter,0.162155975418642,0.11322040401932662,2318,False,1,2,rank
Joey McIntyre,0.17051117254494694,0.11707588886285591,2318,False,1,2,rank
Trista Sutter,0.07603317427057335,0.011587443009037971,2318,False,1,2,rank
John O'Hurley,0.20683126968668955,0.1293238021065762,6273,False,1,3,rank
Kelly Monaco,0.24075373428703772,0.135261010291656,6273,False,1,3,rank
Evander Holyfield,0.12794841988780514,0.05540018641399095,6273,False,1,3,rank
Rachel Hunter,0.2092341060808767,0.133504719650509,6273,False,1,3,rank
Joey McIntyre,0.215232470057647,0.13266395041849383,6273,False,1,3,rank
John O'Hurley,0.25820795400096597,0.12062625625507031,2087,False,1,4,rank
Kelly Monaco,0.23561092477240797,0.13234350780788415,2087,False,1,4,rank
Rachel Hunter,0.12795400095831552,0.01596539717914005,2087,False,1,4,rank
Joey McIntyre,0.3782271202683372,0.11860763924268991,2087,False,1,4,rank
John O'Hurley,0.34390915648427745,0.16628946281916784,8318,False,1,5,rank
Kelly Monaco,0.362827602789133,0.15122564274392258,8318,False,1,5,rank
Joey McIntyre,0.2932632407265691,0.1360756833422418,8318,False,1,5,rank
John O'Hurley,0.3333333333333129,2.042810365310288e-14,5044,True,1,6,rank
Kelly Monaco,0.6666666666666258,4.085620730620576e-14,5044,True,1,6,rank
Tatum O'Neal,0.10395475153819198,0.09140627507268678,3317,False,2,1,rank
Tia Carrere,0.10552610106279893,0.09322000906488968,3317,False,2,1,rank
George Hamilton,0.1137205554745679,0.0939665351926439,3317,False,2,1,rank
Lisa Rinna,0.10451342999202941,0.0905444997650855,3317,False,2,1,rank
Stacy Keibler,0.1016648969191675,0.08966087709111573,3317,False,2,1,rank
Jerry Rice,0.10200297131326108,0.0901726460916533,3317,False,2,1,rank
Giselle Fernandez,0.10222333030276587,0.09188668460546803,3317,False,2,1,rank
Master P,0.1220414661294342,0.09516808775916315,3317,False,2,1,rank
Drew Lachey,0.10317469296885544,0.09284933044778744,3317,False,2,1,rank
Kenny Mayne,0.04117780429891595,0.007926744971573202,3317,False,2,1,rank
Tatum O'Neal,0.0470853936266523,0.009291473797722672,3461,False,2,2,rank
Tia Carrere,0.11816169830030922,0.09550331116147517,3461,False,2,2,rank
George Hamilton,0.11463450883213967,0.09639283566689043,3461,False,2,2,rank
Lisa Rinna,0.12520521536716409,0.09945746832482365,3461,False,2,2,rank
Stacy Keibler,0.1156379348197867,0.09712813563124625,3461,False,2,2,rank
Jerry Rice,0.11550576856460797,0.09859685388045641,3461,False,2,2,rank
Giselle Fernandez,0.11388252701717878,0.09514541888274364,3461,False,2,2,rank
Master P,0.13556123786242086,0.10135716907963228,3461,False,2,2,rank
Drew Lachey,0.11432571560975145,0.09694750600754083,3461,False,2,2,rank
Tia Carrere,0.12715554363510995,0.10134183281653372,2337,False,2,3,rank
George Hamilton,0.1356975925385509,0.10606027778455458,2337,False,2,3,rank
Lisa Rinna,0.12608345324064638,0.09953121212288535,2337,False,2,3,rank
Stacy Keibler,0.12469798257703187,0.10009481610802669,2337,False,2,3,rank
Jerry Rice,0.14386740865817937,0.10604027524354151,2337,False,2,3,rank
Giselle Fernandez,0.05227865128779278,0.008040563316145692,2337,False,2,3,rank
Master P,0.16627222361856306,0.10725976179116564,2337,False,2,3,rank
Drew Lachey,0.12394714444412581,0.10025588596952778,2337,False,2,3,rank
Tia Carrere,0.1504101195235424,0.11149326528714598,5089,False,2,4,rank
George Hamilton,0.17317533035928181,0.11595196967057128,5089,False,2,4,rank
Lisa Rinna,0.14878108150585898,0.11092152867705207,5089,False,2,4,rank
Stacy Keibler,0.1461765694603056,0.10959233503123889,5089,False,2,4,rank
Jerry Rice,0.15878194582709423,0.11408201102862245,5089,False,2,4,rank
Master P,0.0750402252215427,0.025695103078540494,5089,False,2,4,rank
Drew Lachey,0.1476347281024085,0.11069242601951552,5089,False,2,4,rank
Tia Carrere,0.09450205134833173,0.03380790341122183,5684,False,2,5,rank
George Hamilton,0.18568771632508513,0.12359471597382223,5684,False,2,5,rank
Lisa Rinna,0.17425809169550172,0.1195289844219019,5684,False,2,5,rank
Stacy Keibler,0.17260408737737798,0.11927916767531227,5684,False,2,5,rank
Jerry Rice,0.19881682440744386,0.12429860717876033,5684,False,2,5,rank
Drew Lachey,0.17413122884621046,0.12107595009870947,5684,False,2,5,rank
George Hamilton,0.10754917846307405,0.02583544896630376,4203,False,2,6,rank
Lisa Rinna,0.22254350819974522,0.1308292740523645,4203,False,2,6,rank
Stacy Keibler,0.2038151407319455,0.12856404471664706,4203,False,2,6,rank
Jerry Rice,0.2615094188891943,0.1292090517193498,4203,False,2,6,rank
Drew Lachey,0.20458275371606774,0.1297962622752845,4203,False,2,6,rank
Lisa Rinna,0.1451819944001755,0.03500014219451004,4643,False,2,7,rank
Stacy Keibler,0.2540857204393745,0.1412796460101524,4643,False,2,7,rank
Jerry Rice,0.3343010984277539,0.1363712413101523,4643,False,2,7,rank
Drew Lachey,0.2664311867327209,0.1408466176737553,4643,False,2,7,rank
Stacy Keibler,0.1818181818181857,3.885780586188048e-15,1600,True,2,8,rank
Jerry Rice,0.5454545454545312,1.432187701766452e-14,1600,True,2,8,rank
Drew Lachey,0.2727272727272656,7.16093850883226e-15,1600,True,2,8,rank
Harry Hamlin,0.09741004647039035,0.09029884923918574,4829,False,3,1,percent
Vivica A. Fox,0.0958106418349028,0.08951929678885427,4829,False,3,1,percent
Monique Coleman,0.09420976530305845,0.08614993116888395,4829,False,3,1,percent
Joey Lawrence,0.09460486186563173,0.08729121968866552,4829,False,3,1,percent
Mario Lopez,0.09513290406519159,0.08811198657619188,4829,False,3,1,percent
Emmitt Smith,0.09552592018266262,0.08703608362726203,4829,False,3,1,percent
Shanna Moakler,0.0962379246890699,0.08737249803802807,4829,False,3,1,percent
Willa Ford,0.09290865592537363,0.08358835081570888,4829,False,3,1,percent
Sara Evans,0.10219345483114611,0.09034224283617462,4829,False,3,1,percent
Jerry Springer,0.09678174215428953,0.08684271285608829,4829,False,3,1,percent
Tucker Carlson,0.03918408267828304,0.007871759674085717,4829,False,3,1,percent
Harry Hamlin,0.11750588326374993,0.09499640557151987,1071,False,3,2,percent
Vivica A. Fox,0.09469780776872877,0.0881897154449063,1071,False,3,2,percent
Monique Coleman,0.09591892576025085,0.0888096801007802,1071,False,3,2,percent
Joey Lawrence,0.09352020625799833,0.08448389471512555,1071,False,3,2,percent
Mario Lopez,0.11559166411449981,0.09079135484229331,1071,False,3,2,percent
Emmitt Smith,0.09392652874725248,0.08868860362172977,1071,False,3,2,percent
Shanna Moakler,0.03691563786242487,0.0031246334832630246,1071,False,3,2,percent
Willa Ford,0.10339174282366995,0.09007923478380568,1071,False,3,2,percent
Sara Evans,0.11634194390396596,0.09583759864611054,1071,False,3,2,percent
Jerry Springer,0.132189659497452,0.09714986949141867,1071,False,3,2,percent
Harry Hamlin,0.04151926198186323,0.003578443876704011,1307,False,3,3,percent
Vivica A. Fox,0.1062140123377223,0.09354468903401902,1307,False,3,3,percent
Monique Coleman,0.10699951478937243,0.08953376749665233,1307,False,3,3,percent
Joey Lawrence,0.11933992036363886,0.09543813493222782,1307,False,3,3,percent
Mario Lopez,0.12146428646938519,0.09450294685406896,1307,False,3,3,percent
Emmitt Smith,0.15088730438504594,0.10408004742657766,1307,False,3,3,percent
Willa Ford,0.12082968119590422,0.09886218627562389,1307,False,3,3,percent
Sara Evans,0.10954115559548959,0.09579423795319943,1307,False,3,3,percent
Jerry Springer,0.12320486288158047,0.09899605115921671,1307,False,3,3,percent
Vivica A. Fox,0.049258533388647566,0.004608182628805519,1286,False,3,4,percent
Monique Coleman,0.13149460240645441,0.09851413490695612,1286,False,3,4,percent
Joey Lawrence,0.11982678108325237,0.09887655596011986,1286,False,3,4,percent
Mario Lopez,0.11500242852539823,0.09612785750886722,1286,False,3,4,percent
Emmitt Smith,0.13275689064278604,0.10255656621955907,1286,False,3,4,percent
Willa Ford,0.12110882450514984,0.10030016423923906,1286,False,3,4,percent
Sara Evans,0.17289125315316484,0.10804344480956744,1286,False,3,4,percent
Jerry Springer,0.15766068629514576,0.1069704133345786,1286,False,3,4,percent
Monique Coleman,0.15117540524629408,0.11036737151693037,3065,False,3,5,percent
Joey Lawrence,0.16900279676492042,0.11152915055350489,3065,False,3,5,percent
Mario Lopez,0.15010133966088335,0.10994329208479343,3065,False,3,5,percent
Emmitt Smith,0.14659392381474556,0.10798440904895026,3065,False,3,5,percent
Willa Ford,0.12901280340105642,0.10380877512608551,3065,False,3,5,percent
Sara Evans,0.08701309401294421,0.07526546367185416,3065,False,3,5,percent
Jerry Springer,0.16710063709915374,0.11175472717246995,3065,False,3,5,percent
Monique Coleman,0.22244698991832207,0.1284140596444845,3998,False,3,7,percent
Joey Lawrence,0.22910360289634482,0.13082865656709303,3998,False,3,7,percent
Mario Lopez,0.22500483818552205,0.12956109811492808,3998,False,3,7,percent
Emmitt Smith,0.22522210010115096,0.1313230688667209,3998,False,3,7,percent
Jerry Springer,0.09822246889868388,0.010944295517080056,3998,False,3,7,percent
Monique Coleman,0.12000000000000333,3.3029134982598407e-15,2503,False,3,8,percent
Joey Lawrence,0.2948142229324863,0.13626530580153975,2503,False,3,8,percent
Mario Lopez,0.29586895725130374,0.13642792570619938,2503,False,3,8,percent
Emmitt Smith,0.2893168198162253,0.13513363528556058,2503,False,3,8,percent
Joey Lawrence,0.1818181818181782,3.635980405647388e-15,3289,False,3,9,percent
Mario Lopez,0.40987865889049674,0.13636136099558563,3289,False,3,9,percent
Emmitt Smith,0.40830315929128147,0.13636136099557752,3289,False,3,9,percent
Mario Lopez,0.33333333333331283,2.0483614804334138e-14,5048,True,3,10,percent
Emmitt Smith,0.6666666666666257,4.0967229608668276e-14,5048,True,3,10,percent
John Ratzenberger,0.0952391323497521,0.08410408500520189,984,False,4,2,percent
Ian Ziering,0.09754359098225387,0.09151579176132871,984,False,4,2,percent
Clyde Drexler,0.12387115252213642,0.09302234096599735,984,False,4,2,percent
Laila Ali,0.0877142109035024,0.08370638982847296,984,False,4,2,percent
Apolo Anton Ohno,0.08762141195613678,0.08357638421084321,984,False,4,2,percent
Shandi Finnessey,0.10559965407504951,0.08949354826390014,984,False,4,2,percent
Paulina Porizkova,0.032079153860072006,0.0027975324948558765,984,False,4,2,percent
Heather Mills,0.08622689046412385,0.08005530835468777,984,False,4,2,percent
Billy Ray Cyrus,0.1006613029749178,0.09026574745693017,984,False,4,2,percent
Joey Fatone,0.08373594770937132,0.07884385122617485,984,False,4,2,percent
Leeza Gibbons,0.09970755220268596,0.08920544383801474,984,False,4,2,percent
John Ratzenberger,0.11449477543693155,0.09659072522061443,1024,False,4,3,percent
Ian Ziering,0.09202179794404505,0.08351915025667395,1024,False,4,3,percent
Clyde Drexler,0.15664401207492193,0.09953667768417444,1024,False,4,3,percent
