Contestant,Est_Fan_Share,Fan_Share_Std,Valid_Simulations,Season,Week,Rule_Used
John O'Hurley,0.16613399515536922,0.11692470047975001,1143,1,2,rank
Kelly Monaco,0.19197600299962642,0.11853957300306624,1143,1,2,rank
Evander Holyfield,0.23642877973586796,0.11869640647552625,1143,1,2,rank
Rachel Hunter,0.16444968188500428,0.11440999933373973,1143,1,2,rank
Joey McIntyre,0.16480082846787125,0.1142590428409883,1143,1,2,rank
Trista Sutter,0.07621071175626795,0.011820241763188364,1143,1,2,rank
John O'Hurley,0.20699809125526897,0.13191018155220738,3044,1,3,rank
Kelly Monaco,0.23778499285420518,0.13462720335241474,3044,1,3,rank
Evander Holyfield,0.12865323191728512,0.054271863076293995,3044,1,3,rank
Rachel Hunter,0.2104606884909466,0.13335803399294782,3044,1,3,rank
Joey McIntyre,0.21610299548232384,0.13243303379178425,3044,1,3,rank
John O'Hurley,0.24866920152091224,0.11510012537499444,1052,1,4,rank
Kelly Monaco,0.2331558935361214,0.1257506829100274,1052,1,4,rank
Rachel Hunter,0.12714828897338507,0.015324278896194757,1052,1,4,rank
Joey McIntyre,0.3910266159695862,0.11591958031961631,1052,1,4,rank
John O'Hurley,0.34577452441481965,0.16682785168033995,4148,1,5,rank
Kelly Monaco,0.361948803366338,0.15156345897748505,4148,1,5,rank
Joey McIntyre,0.2922766722187989,0.13477036905977785,4148,1,5,rank
Tatum O'Neal,0.10383688493872026,0.0907173111933953,1676,2,1,rank
Tia Carrere,0.10380414590904354,0.0901903675455167,1676,2,1,rank
George Hamilton,0.11299896302154873,0.09251349289622067,1676,2,1,rank
Lisa Rinna,0.10544522008549943,0.09030590847097897,1676,2,1,rank
Stacy Keibler,0.1016734413554243,0.09233630443810657,1676,2,1,rank
Jerry Rice,0.0979862990798468,0.08758776110248181,1676,2,1,rank
Giselle Fernandez,0.10573631451973499,0.0951752359599071,1676,2,1,rank
Master P,0.12524360263192738,0.09827405248383776,1676,2,1,rank
Drew Lachey,0.10177739787928658,0.09084374625882433,1676,2,1,rank
Kenny Mayne,0.041497730578965074,0.00866478900257149,1676,2,1,rank
Tatum O'Neal,0.047881683365136596,0.009857591259896,1690,2,2,rank
Tia Carrere,0.11961245052087552,0.09916688890237928,1690,2,2,rank
George Hamilton,0.11098048557396709,0.0949500153213189,1690,2,2,rank
Lisa Rinna,0.1257604367858276,0.09769595507615977,1690,2,2,rank
Stacy Keibler,0.11264125776788136,0.09636252918061036,1690,2,2,rank
Jerry Rice,0.11272218399553215,0.09606118361667235,1690,2,2,rank
Giselle Fernandez,0.11500944969335283,0.09684700215098566,1690,2,2,rank
Master P,0.14195456345072943,0.10279240360539048,1690,2,2,rank
Drew Lachey,0.11343748884670685,0.09525836089911381,1690,2,2,rank
Tia Carrere,0.12162147503191649,0.0971937975406134,1171,2,3,rank
George Hamilton,0.13290825553893518,0.10432172740207603,1171,2,3,rank
Lisa Rinna,0.12233068613555903,0.10002380077196635,1171,2,3,rank
Stacy Keibler,0.12974186735732476,0.10342785343837892,1171,2,3,rank
Jerry Rice,0.14927696750907907,0.10792654312380866,1171,2,3,rank
Giselle Fernandez,0.05241167310604906,0.008042868760835334,1171,2,3,rank
Master P,0.1675930175623252,0.10703957864470523,1171,2,3,rank
Drew Lachey,0.12411605775881078,0.09899352255070815,1171,2,3,rank
Tia Carrere,0.14937513426490412,0.11032531656874006,2569,2,4,rank
George Hamilton,0.17262007527055861,0.11546517156876013,2569,2,4,rank
Lisa Rinna,0.14758362491827914,0.1116180252819224,2569,2,4,rank
Stacy Keibler,0.14663639830843192,0.11008017365800679,2569,2,4,rank
Jerry Rice,0.15712952448151832,0.11317511623601724,2569,2,4,rank
Master P,0.07637255816596975,0.026662190938848463,2569,2,4,rank
Drew Lachey,0.15028268459033858,0.11301226934979736,2569,2,4,rank
Tia Carrere,0.09410307735110318,0.033197504948423204,2763,2,5,rank
George Hamilton,0.18117446037409016,0.12043819585141023,2763,2,5,rank
Lisa Rinna,0.17617151819106414,0.1208482059375768,2763,2,5,rank
Stacy Keibler,0.16859078050329915,0.1168100853039747,2763,2,5,rank
Jerry Rice,0.20323221579620074,0.12588062482906395,2763,2,5,rank
Drew Lachey,0.1767279477842553,0.12281738025114282,2763,2,5,rank
George Hamilton,0.10715854042260722,0.02556080604288292,2111,2,6,rank
Lisa Rinna,0.21642629673556404,0.1268044065847087,2111,2,6,rank
Stacy Keibler,0.2062225326496309,0.13039443499047182,2111,2,6,rank
Jerry Rice,0.2655018723613298,0.13105527930937214,2111,2,6,rank
