celebrity_name,season,week,average_score
Joey McIntyre,1,1,6.666666666666667
John O'Hurley,1,1,6.666666666666667
Rachel Hunter,1,1,6.666666666666667
Evander Holyfield,1,1,6.0
Trista Sutter,1,1,6.0
Kelly Monaco,1,1,4.333333333333333
John O'Hurley,1,2,8.666666666666666
Rachel Hunter,1,2,8.0
Joey McIntyre,1,2,7.0
Trista Sutter,1,2,6.333333333333333
Kelly Monaco,1,2,5.666666666666667
Evander Holyfield,1,2,4.666666666666667
Rachel Hunter,1,3,8.666666666666666
John O'Hurley,1,3,8.0
Joey McIntyre,1,3,7.333333333333333
Kelly Monaco,1,3,7.0
Evander Holyfield,1,3,4.333333333333333
Trista Sutter,1,3,0.0
Kelly Monaco,1,4,8.666666666666666
Rachel Hunter,1,4,8.333333333333334
John O'Hurley,1,4,7.0
Joey McIntyre,1,4,6.666666666666667
Evander Holyfield,1,4,0.0
Trista Sutter,1,4,0.0
John O'Hurley,1,5,9.0
Kelly Monaco,1,5,7.833333333333333
Joey McIntyre,1,5,7.5
Evander Holyfield,1,5,0.0
Rachel Hunter,1,5,0.0
Trista Sutter,1,5,0.0
Kelly Monaco,1,6,9.166666666666666
John O'Hurley,1,6,9.0
Evander Holyfield,1,6,0.0
Joey McIntyre,1,6,0.0
Rachel Hunter,1,6,0.0
Trista Sutter,1,6,0.0
Drew Lachey,2,1,8.0
Giselle Fernandez,2,1,7.666666666666667
Tatum O'Neal,2,1,7.666666666666667
Stacy Keibler,2,1,7.333333333333333
Jerry Rice,2,1,7.0
Tia Carrere,2,1,6.666666666666667
Lisa Rinna,2,1,6.333333333333333
George Hamilton,2,1,6.0
Kenny Mayne,2,1,4.333333333333333
Master P,2,1,4.0
Stacy Keibler,2,2,9.666666666666666
Drew Lachey,2,2,9.0
Giselle Fernandez,2,2,8.0
Jerry Rice,2,2,7.666666666666667
George Hamilton,2,2,7.333333333333333
Tia Carrere,2,2,7.333333333333333
Lisa Rinna,2,2,6.666666666666667
Tatum O'Neal,2,2,5.666666666666667
Master P,2,2,5.333333333333333
Kenny Mayne,2,2,0.0
Drew Lachey,2,3,9.0
Stacy Keibler,2,3,9.0
Tia Carrere,2,3,8.666666666666666
Lisa Rinna,2,3,8.333333333333334
George Hamilton,2,3,7.333333333333333
Giselle Fernandez,2,3,7.333333333333333
Jerry Rice,2,3,6.333333333333333
Master P,2,3,4.666666666666667
Kenny Mayne,2,3,0.0
Tatum O'Neal,2,3,0.0
Drew Lachey,2,4,9.333333333333334
Lisa Rinna,2,4,8.666666666666666
Stacy Keibler,2,4,8.666666666666666
Tia Carrere,2,4,8.333333333333334
Jerry Rice,2,4,8.0
George Hamilton,2,4,7.0
Master P,2,4,2.6666666666666665
Giselle Fernandez,2,4,0.0
Kenny Mayne,2,4,0.0
Tatum O'Neal,2,4,0.0
Stacy Keibler,2,5,10.0
Drew Lachey,2,5,9.0
Lisa Rinna,2,5,8.333333333333334
George Hamilton,2,5,8.0
Jerry Rice,2,5,7.666666666666667
Tia Carrere,2,5,7.333333333333333
Giselle Fernandez,2,5,0.0
Kenny Mayne,2,5,0.0
Master P,2,5,0.0
Tatum O'Neal,2,5,0.0
Drew Lachey,2,6,10.0
Stacy Keibler,2,6,10.0
Lisa Rinna,2,6,9.0
George Hamilton,2,6,7.666666666666667
Jerry Rice,2,6,7.666666666666667
Giselle Fernandez,2,6,0.0
Kenny Mayne,2,6,0.0
Master P,2,6,0.0
Tatum O'Neal,2,6,0.0
Tia Carrere,2,6,0.0
Drew Lachey,2,7,9.166666666666666
Stacy Keibler,2,7,9.166666666666666
Lisa Rinna,2,7,8.833333333333334
Jerry Rice,2,7,6.833333333333333
George Hamilton,2,7,0.0
Giselle Fernandez,2,7,0.0
Kenny Mayne,2,7,0.0
Master P,2,7,0.0
Tatum O'Neal,2,7,0.0
Tia Carrere,2,7,0.0
Drew Lachey,2,8,9.6666
Stacy Keibler,2,8,9.5555
Jerry Rice,2,8,8.888866666666667
George Hamilton,2,8,0.0
Giselle Fernandez,2,8,0.0
Kenny Mayne,2,8,0.0
Lisa Rinna,2,8,0.0
Master P,2,8,0.0
Tatum O'Neal,2,8,0.0
Tia Carrere,2,8,0.0
Mario Lopez,3,1,8.666666666666666
Emmitt Smith,3,1,8.0
Vivica A. Fox,3,1,7.333333333333333
Willa Ford,3,1,7.333333333333333
Joey Lawrence,3,1,7.0
Monique Coleman,3,1,6.333333333333333
Shanna Moakler,3,1,6.0
Harry Hamlin,3,1,5.666666666666667
Jerry Springer,3,1,5.333333333333333
Sara Evans,3,1,5.0
Tucker Carlson,3,1,4.0
Emmitt Smith,3,10,9.888866666666667
Mario Lopez,3,10,9.888866666666667
Harry Hamlin,3,10,0.0
Jerry Springer,3,10,0.0
Joey Lawrence,3,10,0.0
Monique Coleman,3,10,0.0
Sara Evans,3,10,0.0
Shanna Moakler,3,10,0.0
Tucker Carlson,3,10,0.0
Vivica A. Fox,3,10,0.0
Willa Ford,3,10,0.0
Joey Lawrence,3,2,9.666666666666666
Monique Coleman,3,2,8.666666666666666
Emmitt Smith,3,2,8.0
Vivica A. Fox,3,2,8.0
Willa Ford,3,2,7.666666666666667
Shanna Moakler,3,2,7.333333333333333
Harry Hamlin,3,2,7.0
Mario Lopez,3,2,7.0
Sara Evans,3,2,7.0
Jerry Springer,3,2,6.333333333333333
Tucker Carlson,3,2,0.0
Monique Coleman,3,3,9.0
Vivica A. Fox,3,3,9.0
Sara Evans,3,3,8.333333333333334
Harry Hamlin,3,3,7.333333333333333
Joey Lawrence,3,3,7.333333333333333
Mario Lopez,3,3,7.333333333333333
Willa Ford,3,3,7.333333333333333
Jerry Springer,3,3,7.0
Emmitt Smith,3,3,6.333333333333333
Shanna Moakler,3,3,0.0
Tucker Carlson,3,3,0.0
Mario Lopez,3,4,9.666666666666666
Willa Ford,3,4,9.333333333333334
Joey Lawrence,3,4,9.0
Emmitt Smith,3,4,8.0
Monique Coleman,3,4,8.0
Vivica A. Fox,3,4,8.0
Jerry Springer,3,4,7.333333333333333
Sara Evans,3,4,6.666666666666667
Harry Hamlin,3,4,0.0
Shanna Moakler,3,4,0.0
Tucker Carlson,3,4,0.0
Emmitt Smith,3,5,9.0
Mario Lopez,3,5,9.0
Monique Coleman,3,5,9.0
Willa Ford,3,5,9.0
Joey Lawrence,3,5,8.333333333333334
Jerry Springer,3,5,8.0
Sara Evans,3,5,8.0
Harry Hamlin,3,5,0.0
Shanna Moakler,3,5,0.0
Tucker Carlson,3,5,0.0
Vivica A. Fox,3,5,0.0
Mario Lopez,3,6,9.333333333333334
Emmitt Smith,3,6,8.333333333333334
Joey Lawrence,3,6,8.0
Monique Coleman,3,6,7.666666666666667
Jerry Springer,3,6,6.0
Harry Hamlin,3,6,0.0
Sara Evans,3,6,0.0
Shanna Moakler,3,6,0.0
Tucker Carlson,3,6,0.0
Vivica A. Fox,3,6,0.0
Willa Ford,3,6,0.0
Emmitt Smith,3,7,9.5
Joey Lawrence,3,7,9.5
Mario Lopez,3,7,9.333333333333334
Monique Coleman,3,7,9.0
Jerry Springer,3,7,7.666666666666667
Harry Hamlin,3,7,0.0
Sara Evans,3,7,0.0
Shanna Moakler,3,7,0.0
Tucker Carlson,3,7,0.0
Vivica A. Fox,3,7,0.0
Willa Ford,3,7,0.0
Mario Lopez,3,8,9.5
