week,celebrity_name,estimated_fan_support
1,John O'Hurley,0.14922437260880655
1,Kelly Monaco,0.21656342783936822
1,Evander Holyfield,0.168181476476947
1,Rachel Hunter,0.1486775199115881
1,Joey McIntyre,0.14896689095895252
1,Trista Sutter,0.16838631220433758
2,John O'Hurley,0.15833193991333594
2,Kelly Monaco,0.18624051461729188
2,Evander Holyfield,0.2072814529844899
2,Rachel Hunter,0.15795195333270293
2,Joey McIntyre,0.1581530259714255
2,Trista Sutter,0.1320411131807539
3,John O'Hurley,0.20372172701451915
3,Kelly Monaco,0.20049318056122534
3,Evander Holyfield,0.20896610001955937
3,Rachel Hunter,0.19764980580517602
3,Joey McIntyre,0.18916918659952014
4,John O'Hurley,0.27879893204321965
4,Kelly Monaco,0.24186749525043155
4,Rachel Hunter,0.1884595141056533
4,Joey McIntyre,0.2908740586006955
5,John O'Hurley,0.29564141443881453
5,Kelly Monaco,0.3451114752132106
5,Joey McIntyre,0.3592471103479749
6,John O'Hurley,0.5035664609881462
6,Kelly Monaco,0.49643353901185394
