week,celebrity_name,estimated_fan_support
1,John O'Hurley,0.16666666666666669
1,Kelly Monaco,0.16666666666666669
1,Evander Holyfield,0.16666666666666669
1,Rachel Hunter,0.16666666666666669
1,Joey McIntyre,0.16666666666666669
1,Trista Sutter,0.16666666666666669
2,John O'Hurley,0.17044970254295894
2,Kelly Monaco,0.16892761153460928
2,Evander Holyfield,0.19662453147081851
2,Rachel Hunter,0.17044970254295894
2,Joey McIntyre,0.17044970254295894
2,Trista Sutter,0.12309874936569537
3,John O'Hurley,0.21203718944406952
3,Kelly Monaco,0.18506259491595317
3,Evander Holyfield,0.19884995419388968
3,Rachel Hunter,0.2063160130320548
3,Joey McIntyre,0.19773424841403278
4,John O'Hurley,0.28352108193528774
4,Kelly Monaco,0.22890742077027718
4,Rachel Hunter,0.1922005419971389
4,Joey McIntyre,0.2953709552972961
5,John O'Hurley,0.34038746527727504
5,Kelly Monaco,0.3557350293677604
5,Joey McIntyre,0.30387750535496455
6,John O'Hurley,0.502619575442616
6,Kelly Monaco,0.49738042455738396
